City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,Helong,42.5397,128.9972,1.08,78,9,7.16,CN,2022-01-17 13:43:32
116,Olafsvik,64.8945,-23.7142,43.48,93,100,37.42,IS,2022-01-17 13:43:33
117,Grindavik,63.8424,-22.4338,43.27,93,100,31.07,IS,2022-01-17 13:43:34
118,Camopi,3.1655,-52.3158,83.12,65,45,4.59,GF,2022-01-17 13:43:35
119,Gamba,-2.65,10.0,79.54,78,61,8.16,GA,2022-01-17 13:43:35
120,Upernavik,72.7868,-56.1549,-2.78,96,100,7.07,GL,2022-01-17 13:43:36
121,Saint George,37.1041,-113.5841,30.79,80,0,0.0,US,2022-01-17 13:43:37
122,Talnakh,69.4865,88.3972,15.21,89,100,10.58,RU,2022-01-17 13:43:37
123,Eureka,40.8021,-124.1637,40.39,74,100,2.82,US,2022-01-17 13:43:38
124,Balikpapan,-1.2675,116.8289,81.59,83,40,11.5,ID,2022-01-17 13:43:39
125,New Norfolk,-42.7826,147.0587,60.3,59,42,3.22,AU,2022-01-17 13:43:40
126,Nikolskoye,59.7035,30.7861,28.4,82,100,11.7,RU,2022-01-17 13:43:40
127,Leshukonskoye,64.8989,45.7622,24.51,90,100,5.19,RU,2022-01-17 13:43:41
128,Vestmannaeyjar,63.4427,-20.2734,43.79,93,75,20.71,IS,2022-01-17 13:43:41
129,Muros,42.7762,-9.0603,61.3,66,100,3.36,ES,2022-01-17 13:43:42
130,Te Anau,-45.4167,167.7167,57.34,96,25,0.69,NZ,2022-01-17 13:43:43
131,Los Llanos De Aridane,28.6585,-17.9182,62.35,88,75,24.16,ES,2022-01-17 13:43:44
132,Laguna,38.421,-121.4238,52.02,97,100,0.0,US,2022-01-17 13:39:51
133,San Ramon,37.7799,-121.978,54.99,76,75,4.61,US,2022-01-17 13:43:45
134,Bani Walid,31.7566,13.9942,56.43,61,100,15.93,LY,2022-01-17 13:43:46
135,Gboko,7.3179,8.9951,93.67,11,100,6.26,NG,2022-01-17 13:43:47
136,Victoria,22.2855,114.1577,65.32,84,88,8.99,HK,2022-01-17 13:39:47
137,Coihaique,-45.5752,-72.0662,46.35,66,20,3.44,CL,2022-01-17 13:41:40
138,Cururupu,-1.8283,-44.8683,84.94,69,66,5.37,BR,2022-01-17 13:43:48
139,Broken Hill,-31.95,141.4333,65.91,82,100,8.05,AU,2022-01-17 13:43:49
140,Kutum,14.2,24.6667,75.31,17,3,9.48,SD,2022-01-17 13:43:50
141,Guajara,-2.9667,-57.6667,82.67,72,100,3.83,BR,2022-01-17 13:43:50
142,Chicama,-7.8447,-79.1469,64.94,71,49,5.3,PE,2022-01-17 13:43:51
143,Maceio,-9.6658,-35.7353,87.24,62,40,9.22,BR,2022-01-17 13:43:52
144,Jiangyou,31.7667,104.7167,47.8,70,20,2.08,CN,2022-01-17 13:43:52
145,Nishihara,26.1842,127.7558,58.28,94,75,13.8,JP,2022-01-17 13:43:53
146,Limon,10.0,-83.0333,73.29,88,40,5.75,CR,2022-01-17 13:43:54
147,Buin,-33.7333,-70.75,67.05,58,100,4.16,CL,2022-01-17 13:43:55
148,Ponta Do Sol,32.6667,-17.1,66.83,63,100,14.74,PT,2022-01-17 13:43:55
149,Ancud,-41.8697,-73.8203,54.23,50,1,2.82,CL,2022-01-17 13:43:56
150,Terralba,39.7192,8.6392,59.04,63,3,10.8,IT,2022-01-17 13:43:57
151,Mareeba,-17.0,145.4333,77.43,92,100,0.51,AU,2022-01-17 13:43:57
152,Petropavlovsk-Kamchatskiy,53.0452,158.6483,10.99,57,0,8.95,RU,2022-01-17 13:42:56
153,Nouakchott,18.0858,-15.9785,85.93,29,16,12.66,MR,2022-01-17 13:43:59
154,Willowmore,-33.2926,23.4895,86.86,33,7,12.71,ZA,2022-01-17 13:43:59
155,Alenquer,-1.9417,-54.7383,82.74,62,50,2.64,BR,2022-01-17 13:44:00
156,Isilkul,54.9109,71.2728,14.76,88,100,17.74,RU,2022-01-17 13:44:00
157,Benjamin Hill,30.1667,-111.1,52.18,40,99,2.1,MX,2022-01-17 13:44:01
158,Lompoc,34.6391,-120.4579,62.13,80,100,4.61,US,2022-01-17 13:44:02
159,Changping,40.2186,116.2197,24.44,30,0,1.52,CN,2022-01-17 13:44:03
160,Vostok,46.4856,135.8833,-6.18,100,100,1.86,RU,2022-01-17 13:44:03
161,Ahuimanu,21.4447,-157.8378,70.45,86,0,4.61,US,2022-01-17 13:44:04
162,Ashqelon,31.6693,34.5715,53.92,48,6,10.71,IL,2022-01-17 13:44:05
163,Kaitangata,-46.2817,169.8464,55.67,97,18,1.36,NZ,2022-01-17 13:44:05
164,Sao Jose Da Coroa Grande,-8.8978,-35.1478,83.95,59,20,9.06,BR,2022-01-17 13:44:06
165,Dourados,-22.2211,-54.8056,95.63,26,14,14.67,BR,2022-01-17 13:44:07
166,Beringovskiy,63.05,179.3167,-16.85,92,30,14.63,RU,2022-01-17 13:44:07
167,Moa,20.6569,-74.9403,78.15,68,1,3.09,CU,2022-01-17 13:44:08
168,Cootamundra,-34.65,148.0333,70.95,61,100,2.59,AU,2022-01-17 13:44:09
169,Port Lincoln,-34.7333,135.8667,60.3,73,86,16.71,AU,2022-01-17 13:44:10
170,Yoichi,43.2039,140.7703,24.62,84,100,7.07,JP,2022-01-17 13:44:11
171,Naze,28.3667,129.4833,53.6,69,100,16.93,JP,2022-01-17 13:44:11
172,Wanning,18.8003,110.3967,69.78,88,62,11.52,CN,2022-01-17 13:44:12
173,Sabang,5.8933,95.3214,81.86,73,92,16.89,ID,2022-01-17 13:44:13
174,Clyde River,70.4692,-68.5914,-16.37,69,0,10.36,CA,2022-01-17 13:44:13
175,Upington,-28.4478,21.2561,93.58,33,20,6.91,ZA,2022-01-17 13:44:14
176,Povenets,62.8487,34.8262,20.84,87,100,12.35,RU,2022-01-17 13:44:15
177,Beyneu,45.3167,55.2,25.61,82,76,4.63,KZ,2022-01-17 13:44:16
178,Heihe,50.2441,127.4902,-10.61,94,93,7.61,CN,2022-01-17 13:44:16
179,Atasu,48.6814,71.6433,6.12,97,73,5.19,KZ,2022-01-17 13:44:17
180,Severo-Kurilsk,50.6789,156.125,25.38,66,100,10.83,RU,2022-01-17 13:44:18
181,Kaeo,-35.1,173.7833,61.32,87,20,4.97,NZ,2022-01-17 13:44:19
182,Agvali,42.5385,46.1197,14.59,79,1,7.94,RU,2022-01-17 13:44:19
183,Port Augusta,-32.5,137.7667,70.7,67,100,10.67,AU,2022-01-17 13:44:20
184,Caravelas,-17.7125,-39.2481,84.16,63,45,7.61,BR,2022-01-17 13:44:21
185,Vallenar,-28.5708,-70.7581,72.91,49,0,3.74,CL,2022-01-17 13:44:22
186,Cockburn Town,21.4612,-71.1419,77.85,79,28,15.59,TC,2022-01-17 13:41:29
187,Hermanus,-34.4187,19.2345,84.9,66,11,15.86,ZA,2022-01-17 13:44:23
188,Tilichiki,60.4667,166.1,-17.95,90,8,10.02,RU,2022-01-17 13:44:23
189,Korla,41.7597,86.1469,24.64,51,0,1.63,CN,2022-01-17 13:44:24
190,San Felipe,10.3399,-68.7425,74.52,88,100,4.56,VE,2022-01-17 13:44:25
191,Norman Wells,65.282,-126.8329,-47.16,66,20,0.0,CA,2022-01-17 13:44:26
192,Berlevag,70.8578,29.0864,26.55,68,40,32.21,NO,2022-01-17 13:44:26
193,Asau,46.4333,26.4,39.76,62,92,19.37,RO,2022-01-17 13:44:27
194,Raton,36.9034,-104.4391,30.58,61,0,5.75,US,2022-01-17 13:39:45
195,Herat,34.5,62.0,49.17,77,87,4.38,AF,2022-01-17 13:44:28
196,Cabedelo,-6.9811,-34.8339,83.07,66,98,12.59,BR,2022-01-17 13:44:29
197,Idar,49.7167,7.3,41.25,80,100,1.01,DE,2022-01-17 13:44:30
198,Puerto Baquerizo Moreno,-0.9,-89.6,72.27,87,100,6.35,EC,2022-01-17 13:40:08
199,Waverly,42.7392,-84.6208,24.89,80,100,11.5,US,2022-01-17 13:40:51
200,Causapscal,48.3542,-67.227,11.93,89,100,5.01,CA,2022-01-17 13:44:31
201,Tiksi,71.6872,128.8694,-23.73,98,70,7.67,RU,2022-01-17 13:44:32
202,Armidale,-30.5167,151.65,65.8,94,100,2.08,AU,2022-01-17 13:44:33
203,Vila Velha,-20.3297,-40.2925,84.15,61,40,11.5,BR,2022-01-17 13:43:36
204,Ondjiva,-17.0667,15.7333,88.5,14,70,14.99,AO,2022-01-17 13:44:34
205,Solnechnyy,50.7214,136.6319,3.99,91,100,8.72,RU,2022-01-17 13:44:35
206,Xiaoweizhai,26.1903,107.5125,43.93,94,100,2.84,CN,2022-01-17 13:44:36
207,Gat,31.61,34.7642,52.92,36,5,9.95,IL,2022-01-17 13:44:36
208,Ostrovnoy,68.0531,39.5131,23.16,91,100,17.34,RU,2022-01-17 13:44:37
209,Beloha,-25.1667,45.05,79.74,66,100,12.01,MG,2022-01-17 13:44:38
210,Poya,-21.35,165.15,75.54,82,7,5.28,NC,2022-01-17 13:44:38
211,Parchim,53.4263,11.8488,43.72,68,51,15.79,DE,2022-01-17 13:44:39
212,Zaozerne,45.1582,33.2787,43.95,73,100,27.67,UA,2022-01-17 13:44:40
213,Paamiut,61.994,-49.6678,17.62,88,100,11.54,GL,2022-01-17 13:44:40
214,Sao Joao Da Barra,-21.6403,-41.0511,86.09,80,2,14.99,BR,2022-01-17 13:44:41
215,Klaksvik,62.2266,-6.589,45.52,84,100,25.64,FO,2022-01-17 13:44:42
216,Athabasca,54.7169,-113.2854,29.89,97,100,2.19,CA,2022-01-17 13:44:42
